# ----------------------------------------
# Alexa Internet
# Audience Overlaps for fortune.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
fortune.com,100,2689
cnbc.com,34.8,555
businessinsider.com,26.8,373
techcrunch.com,24.7,893
wsj.com,23.9,546
forbes.com,23.3,252
marketwatch.com,22.9,1149
bloomberg.com,22.4,444
reuters.com,21.9,580
usatoday.com,21.7,440
theverge.com,21.4,443
time.com,20.9,767
qz.com,20.5,2156
cnn.com,20.3,104
cbsnews.com,20,750
latimes.com,18.7,998
washingtonpost.com,18.7,226
nbcnews.com,18.5,912
inc.com,18.1,2041
npr.org,18.1,599
vox.com,18.1,1117
fastcompany.com,18,3471
thehill.com,17.8,829
newsweek.com,17.7,1604
wired.com,17.6,1353
investopedia.com,17.5,624
fool.com,17.3,2913
seekingalpha.com,17.1,2012
theatlantic.com,17.1,901
nytimes.com,17,117
ft.com,16.8,1870
nypost.com,16,734
recode.net,15.9,8530
politico.com,15.8,1074
abcnews.go.com,15.7,1081
mashable.com,15.5,1518
foxnews.com,15.2,258
chicagotribune.com,15,2019
huffingtonpost.com,14.9,334
statista.com,14.9,2389
usnews.com,14.9,821
bizjournals.com,14.8,3552
independent.co.uk,14.4,514
hbr.org,14.3,3304
variety.com,14.2,1420
coindesk.com,14.1,3133
nasdaq.com,13.8,3854
crunchbase.com,13.6,1981
arstechnica.com,13.5,1236
gizmodo.com,13.5,508
slate.com,13.5,1383
vanityfair.com,13.4,2884
glassdoor.com,13.3,401
newyorker.com,13.3,1459
engadget.com,13.2,649
nydailynews.com,13.2,1835
theguardian.com,13.2,140
nymag.com,13.1,2241
economist.com,12.8,2378
entrepreneur.com,12.6,1713
thedailybeast.com,12.6,1288
thestreet.com,12.6,8613
bgr.com,12.5,4842
prnewswire.com,12.3,4713
telegraph.co.uk,12.2,553
people.com,12.1,995
vice.com,12.1,166
hollywoodreporter.com,12,1612
digitaltrends.com,11.8,1082
medium.com,11.7,268
snopes.com,11.6,2302
cbslocal.com,11.1,2160
mercurynews.com,11,4540
thebalance.com,11,1255
yelp.com,11,185
deadline.com,10.7,2314
buzzfeed.com,10.5,206
lifehacker.com,10.5,676
rollingstone.com,10.5,1946
adweek.com,10.4,4739
zdnet.com,10.3,3490
venturebeat.com,10.2,6185
axios.com,10.1,4585
express.co.uk,10.1,634
eater.com,10,2327
go.com,9.9,434
thrillist.com,9.8,2063
zillow.com,9.8,230
bustle.com,9.7,1387
eventbrite.com,9.7,667
thenextweb.com,9.7,5495
dailymail.co.uk,9.6,158
intuit.com,9.5,294
thesun.co.uk,9.5,837
macrumors.com,9.4,1906
chron.com,9.3,832
fivethirtyeight.com,9.2,1816
cointelegraph.com,9.1,5538
scmp.com,9.1,3228
weather.com,9,261
news.com.au,8.8,897
bleacherreport.com,8.7,617
cbssports.com,8.6,602
investors.com,8.6,10258
pcmag.com,8.5,1533
politifact.com,8.5,9880
9to5mac.com,8.4,4693
irs.gov,8.3,694
vulture.com,8.2,1574
craigslist.org,8.1,107
sfgate.com,8.1,1258
adage.com,8,12047
airbnb.com,8,297
chase.com,8,138
redd.it,8,247
thesaurus.com,8,284
espn.com,7.9,99
ncaa.com,7.9,2037
washingtonexaminer.com,7.9,7553
ticketmaster.com,7.8,803
inverse.com,7.6,7182
bitcoin.com,7.4,5937
geekwire.com,7.4,17931
barrons.com,7.3,16799
aol.com,7,325
ccn.com,7,8181
investorplace.com,6.9,16607
steemit.com,6.9,1762
foxbusiness.com,6.6,8820
appleinsider.com,5.9,11026
bbc.com,3.4,92
cnet.com,3.1,170
techradar.com,2.7,660
tomsguide.com,2.2,807
