# ----------------------------------------
# Alexa Internet
# Audience Overlaps for eater.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
eater.com,100,2327
opentable.com,38.3,2183
thrillist.com,34.1,2063
zagat.com,28.1,37695
theinfatuation.com,23.9,20604
timeout.com,22.3,2072
yelp.com,21,185
grubhub.com,18.8,2138
seriouseats.com,18,3175
curbed.com,17.8,4457
bonappetit.com,16.8,4770
nymag.com,16.4,2241
foodandwine.com,15.9,9132
grubstreet.com,15.4,23593
eventbrite.com,14.8,667
cbslocal.com,14.4,2160
latimes.com,14.4,998
singleplatform.com,14,10762
chicagotribune.com,13.8,2019
foodnetwork.com,13.6,1658
newyorker.com,13.5,1459
tripadvisor.com,13.3,239
bizjournals.com,13.2,3552
chowhound.com,13.2,7999
stubhub.com,13.1,2021
doordash.com,13,3738
airbnb.com,12.5,297
theculturetrip.com,12.4,4338
ticketmaster.com,12.4,803
thekitchn.com,12.3,2609
npr.org,12.2,599
epicurious.com,12.1,4797
ticketfly.com,12.1,3691
seamless.com,12,4344
southwest.com,11.9,783
usatoday.com,11.9,440
nordstrom.com,11.8,798
nypost.com,11.7,734
vulture.com,11.7,1574
deadspin.com,11.6,1131
thepointsguy.com,11.5,4225
foursquare.com,11.4,2542
groupon.com,11.4,654
laweekly.com,11.4,19595
refinery29.com,11.4,2759
jcrew.com,11.3,2263
postmates.com,11.3,8724
avclub.com,11.1,1466
gq.com,11.1,2707
people.com,11.1,995
thehill.com,11.1,829
businessinsider.com,11,373
travelandleisure.com,11,7920
united.com,11,1078
nydailynews.com,10.8,1835
politico.com,10.8,1074
theatlantic.com,10.8,901
vanityfair.com,10.8,2884
vox.com,10.8,1117
fivethirtyeight.com,10.7,1816
hbogo.com,10.7,1273
ncaa.com,10.7,2037
washingtonpost.com,10.7,226
wsj.com,10.6,546
zillow.com,10.6,230
thedailybeast.com,10.5,1288
variety.com,10.5,1420
hollywoodreporter.com,10.4,1612
menupages.com,10.4,48550
thecut.com,10.4,3757
bostonglobe.com,10.3,4602
buzzfeed.com,10.3,206
delish.com,10.3,4007
aa.com,10.2,1064
chase.com,10.2,138
nytimes.com,10.2,117
redfin.com,10.2,860
vice.com,10.2,166
weather.com,10.2,261
cntraveler.com,10.1,11380
geniuskitchen.com,10.1,2162
huffingtonpost.com,10.1,334
pitchfork.com,10.1,1190
narvar.com,10,2550
tripsavvy.com,10,5333
usnews.com,10,821
delta.com,9.9,882
mercurynews.com,9.9,4540
deadline.com,9.8,2314
patch.com,9.8,468
slate.com,9.8,1383
kayak.com,9.7,870
nbcnews.com,9.7,912
theringer.com,9.7,1839
cbsnews.com,9.6,750
mlb.com,9.6,445
rei.com,9.6,1454
trycaviar.com,9.5,10797
urbanoutfitters.com,9.5,1365
10best.com,9.4,27714
bankofamerica.com,9.4,241
cbssports.com,9.4,602
venmo.com,9.4,3516
cnbc.com,9.3,555
craigslist.org,9.3,107
foxnews.com,9.3,258
glassdoor.com,9.2,401
nerdwallet.com,9.2,3253
newsweek.com,9.2,1604
rollingstone.com,9.2,1946
theknot.com,9.2,2492
allrecipes.com,9.1,977
apartments.com,9.1,1434
squarespace.com,9.1,657
bleacherreport.com,9,617
retailmenot.com,9,1194
sfchronicle.com,9,10596
spoonuniversity.com,9,16754
techcrunch.com,9,893
theroot.com,9,3108
theverge.com,9,443
usps.com,9,370
washingtonian.com,9,28753
alaskaair.com,8.9,3023
gap.com,8.9,1293
seattletimes.com,8.9,5089
thedailymeal.com,8.5,17193
oregonlive.com,8,6291
ubereats.com,7.5,3846
denverpost.com,7,9148
beeradvocate.com,6.9,10081
thestranger.com,6.7,15203
ajc.com,6.5,7678
lamag.com,6.3,46664
zomato.com,6.3,1259
westword.com,6.2,24996
culturemap.com,6.1,50205
nola.com,6,10217
bostonmagazine.com,5.7,40260
gothamist.com,5.7,22958
tastingtable.com,5.6,37981
eat24.com,5.2,18927
travelchannel.com,5.2,9786
untappd.com,5.1,12068
amny.com,4.5,56769
allmenus.com,3,39148
gayot.com,2.9,140426
yelp.ca,2.6,7489
dnainfo.com,2.5,58440
tripadvisor.co.nz,2.5,15340
tripadvisor.ca,2.4,4353
houstonpress.com,2.3,43570
opentable.ae,2.3,1102181
discoverlosangeles.com,2.2,59653
firstwefeast.com,2.1,42939
seattlemet.com,2.1,105266
dallasobserver.com,2,41756
miaminewtimes.com,1.9,29589
phillymag.com,1.9,32580
austin360.com,1.8,72980
menuism.com,1.8,100423
tripadvisor.co.uk,1.8,1475
zmenu.com,1.8,62358
eat24hours.com,1.7,151860
opentable.co.th,1.7,1112947
viamichelin.com,1.7,26656
chicagomag.com,1.6,65517
dmagazine.com,1.6,54538
do512.com,1.5,45799
foodrepublic.com,1.5,47300
menupix.com,1.5,71580
opentable.hk,1.5,1612201
wweek.com,1.5,37281
atlantamagazine.com,1.4,88873
chicagoreader.com,1.4,58388
disney.go.com,1.4,2575
happycow.net,1.4,41807
nycgo.com,1.4,51977
pdxmonthly.com,1.4,120728
