# ----------------------------------------
# Alexa Internet
# Audience Overlaps for complex.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
complex.com,100,2717
highsnobiety.com,22.4,3245
hotnewhiphop.com,21.8,1100
xxlmag.com,21,10402
billboard.com,20.4,1172
hypebeast.com,19.9,2110
pitchfork.com,19.5,1190
rollingstone.com,17.8,1946
gq.com,17.5,2707
vulture.com,17.1,1574
ranker.com,16.9,1292
uproxx.com,16.5,4562
thefader.com,15.5,9878
vice.com,15.2,166
tmz.com,14.7,1137
thrillist.com,13.9,2063
esquire.com,13.6,2317
variety.com,13.6,1420
bleacherreport.com,13.5,617
nme.com,13.5,3898
pastemagazine.com,13.5,5090
hollywoodreporter.com,13.1,1612
avclub.com,12.9,1466
buzzfeed.com,12.8,206
indiewire.com,12.6,3223
hiphopdx.com,12.2,14106
nydailynews.com,12.2,1835
usatoday.com,12.2,440
people.com,12,995
ew.com,11.9,2073
genius.com,11.9,259
nypost.com,11.9,734
bustle.com,11.7,1387
businessinsider.com,11.5,373
latimes.com,11.5,998
npr.org,11.5,599
vox.com,11.4,1117
si.com,11.3,1967
vanityfair.com,11.3,2884
newsweek.com,11.2,1604
urbandictionary.com,11.2,507
consequenceofsound.net,11,6953
pigeonsandplanes.com,11,18670
thedailybeast.com,11,1288
huffingtonpost.com,10.9,334
refinery29.com,10.9,2759
rottentomatoes.com,10.9,400
theringer.com,10.9,1839
sbnation.com,10.8,2103
cbssports.com,10.7,602
knowyourmeme.com,10.7,885
theatlantic.com,10.7,901
time.com,10.7,767
espn.com,10.6,99
independent.co.uk,10.6,514
deadline.com,10.5,2314
nba.com,10.5,482
deadspin.com,10.4,1131
newyorker.com,10.4,1459
theverge.com,10.4,443
collider.com,10.3,4234
grailed.com,10.3,2251
cbsnews.com,10.2,750
metro.co.uk,10.1,1640
nike.com,10.1,476
redd.it,10.1,247
sneakernews.com,10,7806
slate.com,9.9,1383
stockx.com,9.9,3052
washingtonpost.com,9.9,226
screenrant.com,9.8,2158
timeout.com,9.8,2072
eonline.com,9.7,2350
nymag.com,9.7,2241
streamable.com,9.7,1496
dailymail.co.uk,9.6,158
mashable.com,9.6,1518
nytimes.com,9.5,117
whosampled.com,9.5,6407
cosmopolitan.com,9.4,2024
abcnews.go.com,9.2,1081
forbes.com,9.2,252
foxnews.com,9.2,258
gizmodo.com,9.2,508
theroot.com,9.2,3108
denofgeek.com,9,3482
kotaku.com,9,814
spin.com,9,14797
spotify.com,9,131
theguardian.com,9,140
cnn.com,8.9,104
nbcnews.com,8.9,912
nbcsports.com,8.9,1375
buffstreamz.com,8.8,2176
polygon.com,8.8,943
yelp.com,8.8,185
gfycat.com,8.7,266
popsugar.com,8.7,1813
ign.com,8.6,326
solecollector.com,8.6,17805
comicbook.com,8.5,1029
kanyewest.com,8.5,9209
pagesix.com,8.5,2824
thesun.co.uk,8.5,837
ticketmaster.com,8.5,803
adidas.com,8.4,1930
basketball-reference.com,8.4,2952
thewrap.com,8.4,7454
cinemablend.com,8.3,4505
elitedaily.com,8.3,5360
ncaa.com,8.3,2037
urbanoutfitters.com,8.2,1365
usmagazine.com,8.2,3813
mentalfloss.com,8.1,3504
mirror.co.uk,8.1,1167
digitalspy.com,8,2213
cnbc.com,7.9,555
dailydot.com,7.9,7886
metacritic.com,7.9,1222
giphy.com,7.8,478
bet.com,7.7,13756
hulu.com,7.7,234
thehill.com,7.7,829
theodysseyonline.com,7.7,6523
thoughtcatalog.com,7.7,4478
gofundme.com,7.6,1618
news.com.au,7.6,897
eater.com,7.5,2327
bodybuilding.com,7.4,1086
stereogum.com,7.4,9129
usnews.com,7.4,821
stubhub.com,7.3,2021
endclothing.com,7.2,2772
thetoptens.com,7.2,7344
hollywoodlife.com,7.1,8413
songkick.com,7.1,2927
harpersbazaar.com,6.8,5523
djbooth.net,6.6,30717
tvtropes.org,6.5,1676
capitalxtra.com,6,25494
rap-up.com,6,38874
rateyourmusic.com,5.4,3376
mtv.com,3.3,5207
vibe.com,3.3,39181
imdb.com,2.6,57
soundcloud.com,2.5,112
bossip.com,2,18187
