# ----------------------------------------
# Alexa Internet
# Audience Overlaps for wired.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
wired.com,100,1353
theverge.com,30.3,443
techcrunch.com,25.8,893
gizmodo.com,23.5,508
businessinsider.com,22.4,373
cnbc.com,20.5,555
theatlantic.com,20.5,901
mashable.com,19.2,1518
arstechnica.com,19.1,1236
engadget.com,18.9,649
npr.org,18.8,599
nytimes.com,18.4,117
forbes.com,18.3,252
usatoday.com,18.2,440
digitaltrends.com,18,1082
lifehacker.com,17.8,676
qz.com,17.8,2156
washingtonpost.com,17.8,226
vox.com,17.7,1117
fortune.com,17.6,2689
time.com,17.6,767
theguardian.com,17.2,140
cnn.com,16.8,104
latimes.com,16.7,998
vice.com,16.5,166
wsj.com,16.4,546
newyorker.com,16.3,1459
slate.com,16.1,1383
independent.co.uk,16,514
nbcnews.com,16,912
bloomberg.com,15.9,444
cbsnews.com,15.9,750
huffingtonpost.com,15.8,334
medium.com,15.7,268
reuters.com,15,580
techradar.com,15,660
fastcompany.com,14.9,3471
pcmag.com,14.6,1533
newsweek.com,14.5,1604
telegraph.co.uk,14.3,553
thedailybeast.com,14.2,1288
buzzfeed.com,14.1,206
thehill.com,14,829
variety.com,14,1420
abcnews.go.com,13.9,1081
nypost.com,13.9,734
foxnews.com,13.6,258
nymag.com,13.4,2241
vanityfair.com,13.1,2884
marketwatch.com,12.8,1149
politico.com,12.6,1074
hollywoodreporter.com,12.4,1612
inc.com,12.4,2041
tomsguide.com,12.4,807
zdnet.com,12.4,3490
polygon.com,12.3,943
quora.com,12.3,100
redd.it,12.3,247
vulture.com,12.2,1574
yelp.com,12.2,185
dailymail.co.uk,12.1,158
rollingstone.com,12.1,1946
nydailynews.com,11.8,1835
kickstarter.com,11.7,604
recode.net,11.6,8530
kotaku.com,11.5,814
androidcentral.com,11.4,1692
chicagotribune.com,11.4,2019
go.com,11.4,434
imore.com,11.4,3374
makeuseof.com,11.4,1354
bestbuy.com,11.3,343
bgr.com,11.3,4842
lifewire.com,11.3,705
scientificamerican.com,11.3,4025
avclub.com,11.1,1466
macrumors.com,11.1,1906
howtogeek.com,11,942
stackexchange.com,11,123
ew.com,10.9,2073
technologyreview.com,10.9,8499
trustedreviews.com,10.9,2848
eventbrite.com,10.8,667
thenextweb.com,10.8,5495
usnews.com,10.8,821
economist.com,10.7,2378
pcworld.com,10.7,2398
rottentomatoes.com,10.7,400
snopes.com,10.6,2302
bustle.com,10.4,1387
express.co.uk,10.4,634
gq.com,10.4,2707
gfycat.com,10.3,266
nationalgeographic.com,10.3,1641
howstuffworks.com,10.2,2099
thewirecutter.com,10.2,3524
cbc.ca,10.1,984
popsci.com,10.1,6609
thrillist.com,10.1,2063
urbandictionary.com,10.1,507
livescience.com,10,2377
zillow.com,10,230
craigslist.org,9.9,107
knowyourmeme.com,9.8,885
people.com,9.8,995
weather.com,9.8,261
bbc.com,9.7,92
nasa.gov,9.7,1009
glassdoor.com,9.6,401
9to5mac.com,9.5,4693
cbslocal.com,9.5,2160
venturebeat.com,9.5,6185
macworld.co.uk,9.4,4045
usps.com,9.4,370
popularmechanics.com,9.3,4660
sfgate.com,9.3,1258
thesaurus.com,9.3,284
intuit.com,9.2,294
space.com,9.2,3489
androidauthority.com,8.8,2765
bleacherreport.com,8.8,617
chase.com,8.7,138
imgur.com,8.7,51
slack.com,8.7,244
homedepot.com,8.6,374
irs.gov,8.6,694
smithsonianmag.com,8.6,6064
investopedia.com,8.5,624
squarespace.com,8.5,657
streamable.com,8.5,1496
ticketmaster.com,8.5,803
livestrong.com,8.4,1006
ups.com,8.4,423
verizonwireless.com,8.4,770
inverse.com,8.2,7182
techadvisor.co.uk,8,4034
consumerreports.org,7.9,3195
wired.co.uk,7.9,10745
computerworld.com,7.8,9139
macworld.com,7.7,7536
theregister.co.uk,7.7,6970
pocket-lint.com,7.2,11712
androidpolice.com,6.5,4384
cnet.com,6.5,170
newatlas.com,6.3,8603
gadgethacks.com,6.2,7866
extremetech.com,6.1,10319
cultofmac.com,5.9,12590
appleinsider.com,5.6,11026
apple.com,3.6,72
amazon.co.uk,2.1,97
expertreviews.co.uk,2,12912
